# column 0 is pixels, column 1 is signal
2.930000000000000000e+02,1.855468750000000347e-02
2.940000000000000000e+02,2.083333333333333218e-02
2.950000000000000000e+02,3.222656250000000000e-02
2.960000000000000000e+02,3.124999999999999653e-02
2.970000000000000000e+02,5.208333333333333912e-03
2.980000000000000000e+02,5.208333333333333044e-03
2.990000000000000000e+02,1.302083333333333261e-03
3.000000000000000000e+02,1.171875000000000000e-02
3.010000000000000000e+02,1.725260416666666782e-02
3.020000000000000000e+02,9.440104166666666088e-03
3.030000000000000000e+02,9.765625000000000000e-03
3.040000000000000000e+02,1.204427083333333391e-02
3.050000000000000000e+02,1.302083333333333391e-02
3.060000000000000000e+02,3.580729166666666522e-03
3.070000000000000000e+02,6.835937500000000000e-03
3.080000000000000000e+02,5.533854166666666956e-03
3.090000000000000000e+02,1.074218750000000000e-02
3.100000000000000000e+02,1.595052083333333218e-02
3.110000000000000000e+02,0.000000000000000000e+00
3.120000000000000000e+02,0.000000000000000000e+00
3.130000000000000000e+02,0.000000000000000000e+00
3.140000000000000000e+02,1.334635416666666609e-02
3.150000000000000000e+02,1.953125000000000000e-02
3.160000000000000000e+02,1.236979166666666609e-02
3.170000000000000000e+02,6.835937500000000000e-03
3.180000000000000000e+02,4.231770833333333044e-03
3.190000000000000000e+02,5.859375000000000000e-03
3.200000000000000000e+02,1.041666666666666782e-02
3.210000000000000000e+02,2.246093750000000000e-02
3.220000000000000000e+02,1.855468750000000000e-02
3.230000000000000000e+02,2.604166666666666522e-03
3.240000000000000000e+02,1.562500000000000000e-02
3.250000000000000000e+02,1.399739583333333218e-02
3.260000000000000000e+02,2.571614583333333218e-02
3.270000000000000000e+02,1.432291666666666609e-02
3.280000000000000000e+02,1.595052083333333218e-02
3.290000000000000000e+02,1.106770833333333391e-02
3.300000000000000000e+02,1.009114583333333218e-02
3.310000000000000000e+02,1.692708333333333218e-02
3.320000000000000000e+02,1.334635416666666435e-02
3.330000000000000000e+02,6.510416666666666088e-03
3.340000000000000000e+02,4.882812500000000000e-03
3.350000000000000000e+02,1.725260416666666782e-02
3.360000000000000000e+02,3.385416666666667129e-02
3.370000000000000000e+02,1.790364583333333218e-02
3.380000000000000000e+02,1.692708333333333565e-02
3.390000000000000000e+02,2.929687500000000000e-03
3.400000000000000000e+02,6.184895833333333912e-03
3.410000000000000000e+02,3.906250000000000000e-03
3.420000000000000000e+02,6.184895833333333912e-03
3.430000000000000000e+02,4.882812500000000000e-03
3.440000000000000000e+02,0.000000000000000000e+00
3.450000000000000000e+02,3.255208333333333153e-04
3.460000000000000000e+02,0.000000000000000000e+00
3.470000000000000000e+02,6.510416666666666956e-03
3.480000000000000000e+02,2.278645833333333478e-03
3.490000000000000000e+02,1.920572916666666782e-02
3.500000000000000000e+02,3.027343750000000000e-02
3.510000000000000000e+02,2.343750000000000000e-02
3.520000000000000000e+02,2.701822916666666782e-02
3.530000000000000000e+02,1.139322916666666609e-02
3.540000000000000000e+02,2.604166666666666435e-02
3.550000000000000000e+02,7.161458333333333912e-03
3.560000000000000000e+02,6.835937499999999133e-03
3.570000000000000000e+02,2.897135416666667129e-02
3.580000000000000000e+02,2.311197916666666435e-02
3.590000000000000000e+02,2.246093750000000000e-02
3.600000000000000000e+02,1.692708333333333565e-02
3.610000000000000000e+02,8.463541666666666088e-03
3.620000000000000000e+02,4.231770833333333912e-03
3.630000000000000000e+02,4.231770833333333044e-03
3.640000000000000000e+02,1.074218750000000000e-02
3.650000000000000000e+02,4.231770833333333044e-03
3.660000000000000000e+02,1.595052083333333565e-02
3.670000000000000000e+02,3.873697916666665741e-02
3.680000000000000000e+02,3.222656250000000000e-02
3.690000000000000000e+02,2.311197916666666435e-02
3.700000000000000000e+02,1.953124999999999653e-02
3.710000000000000000e+02,5.533854166666666088e-03
3.720000000000000000e+02,5.208333333333333044e-03
3.730000000000000000e+02,1.302083333333333261e-03
3.740000000000000000e+02,4.882812500000000000e-03
3.750000000000000000e+02,4.231770833333333912e-03
3.760000000000000000e+02,9.440104166666666088e-03
3.770000000000000000e+02,1.009114583333333218e-02
3.780000000000000000e+02,8.789062500000000000e-03
3.790000000000000000e+02,2.441406249999999653e-02
3.800000000000000000e+02,2.311197916666666435e-02
3.810000000000000000e+02,5.208333333333333044e-03
3.820000000000000000e+02,8.789062500000000000e-03
3.830000000000000000e+02,2.213541666666666782e-02
3.840000000000000000e+02,3.255208333333332871e-02
3.850000000000000000e+02,2.213541666666666782e-02
3.860000000000000000e+02,7.812499999999999133e-03
3.870000000000000000e+02,1.106770833333333391e-02
3.880000000000000000e+02,1.367187500000000000e-02
3.890000000000000000e+02,2.148437500000000000e-02
3.900000000000000000e+02,3.776041666666666435e-02
3.910000000000000000e+02,1.725260416666666782e-02
3.920000000000000000e+02,9.765625000000000000e-03
3.930000000000000000e+02,1.334635416666666609e-02
3.940000000000000000e+02,1.204427083333333391e-02
3.950000000000000000e+02,6.184895833333333912e-03
3.960000000000000000e+02,1.953125000000000000e-02
3.970000000000000000e+02,3.515625000000000000e-02
3.980000000000000000e+02,7.812500000000000000e-03
3.990000000000000000e+02,1.757812500000000000e-02
4.000000000000000000e+02,1.595052083333333565e-02
4.010000000000000000e+02,1.627604166666666782e-02
4.020000000000000000e+02,5.533854166666666956e-03
4.030000000000000000e+02,2.050781250000000000e-02
4.040000000000000000e+02,1.497395833333333391e-02
4.050000000000000000e+02,2.408854166666666782e-02
4.060000000000000000e+02,1.334635416666666609e-02
4.070000000000000000e+02,1.074218750000000000e-02
4.080000000000000000e+02,2.311197916666666782e-02
4.090000000000000000e+02,2.083333333333333218e-02
4.100000000000000000e+02,2.018229166666666435e-02
4.110000000000000000e+02,1.432291666666666609e-02
4.120000000000000000e+02,1.725260416666666435e-02
4.130000000000000000e+02,1.627604166666666782e-02
4.140000000000000000e+02,1.302083333333333218e-02
4.150000000000000000e+02,1.529947916666666782e-02
4.160000000000000000e+02,5.208333333333333912e-03
4.170000000000000000e+02,3.255208333333333044e-03
4.180000000000000000e+02,1.432291666666666782e-02
4.190000000000000000e+02,1.790364583333333218e-02
4.200000000000000000e+02,2.571614583333333565e-02
4.210000000000000000e+02,1.920572916666666435e-02
4.220000000000000000e+02,9.114583333333332177e-03
4.230000000000000000e+02,1.269531250000000000e-02
4.240000000000000000e+02,9.114583333333333912e-03
4.250000000000000000e+02,8.138020833333332177e-03
4.260000000000000000e+02,2.571614583333333565e-02
4.270000000000000000e+02,4.134114583333333565e-02
4.280000000000000000e+02,1.334635416666666609e-02
4.290000000000000000e+02,1.692708333333333565e-02
4.300000000000000000e+02,1.139322916666666609e-02
4.310000000000000000e+02,1.367187500000000000e-02
4.320000000000000000e+02,1.497395833333333218e-02
4.330000000000000000e+02,1.171875000000000000e-02
4.340000000000000000e+02,1.725260416666666435e-02
4.350000000000000000e+02,1.464843750000000000e-02
4.360000000000000000e+02,1.139322916666666782e-02
4.370000000000000000e+02,6.184895833333333044e-03
4.380000000000000000e+02,4.231770833333333912e-03
4.390000000000000000e+02,2.929687500000000000e-03
4.400000000000000000e+02,8.463541666666666088e-03
4.410000000000000000e+02,5.533854166666666088e-03
4.420000000000000000e+02,6.510416666666666088e-03
4.430000000000000000e+02,6.510416666666666088e-03
4.440000000000000000e+02,6.835937500000000000e-03
4.450000000000000000e+02,7.812500000000000000e-03
4.460000000000000000e+02,1.953125000000000000e-02
4.470000000000000000e+02,2.148437500000000000e-02
4.480000000000000000e+02,1.920572916666666782e-02
4.490000000000000000e+02,7.812500000000000000e-03
4.500000000000000000e+02,1.302083333333333261e-03
4.510000000000000000e+02,2.701822916666666782e-02
4.520000000000000000e+02,1.529947916666666435e-02
4.530000000000000000e+02,1.139322916666666609e-02
4.540000000000000000e+02,1.888020833333333218e-02
4.550000000000000000e+02,2.441406250000000000e-02
4.560000000000000000e+02,1.009114583333333218e-02
4.570000000000000000e+02,7.161458333333333044e-03
4.580000000000000000e+02,4.882812500000000000e-03
4.590000000000000000e+02,5.208333333333333044e-03
4.600000000000000000e+02,1.269531250000000000e-02
4.610000000000000000e+02,3.190104166666667129e-02
4.620000000000000000e+02,1.692708333333333565e-02
4.630000000000000000e+02,7.486979166666666088e-03
4.640000000000000000e+02,9.765625000000000000e-03
4.650000000000000000e+02,1.009114583333333391e-02
4.660000000000000000e+02,1.139322916666666609e-02
4.670000000000000000e+02,9.765625000000000000e-03
4.680000000000000000e+02,3.580729166666666956e-03
4.690000000000000000e+02,1.041666666666666782e-02
4.700000000000000000e+02,1.595052083333333218e-02
4.710000000000000000e+02,9.765625000000000000e-03
4.720000000000000000e+02,7.161458333333333912e-03
4.730000000000000000e+02,7.486979166666666956e-03
4.740000000000000000e+02,1.204427083333333391e-02
4.750000000000000000e+02,2.050781249999999653e-02
4.760000000000000000e+02,1.953125000000000000e-02
4.770000000000000000e+02,3.841145833333332871e-02
4.780000000000000000e+02,3.743489583333333565e-02
4.790000000000000000e+02,7.812500000000000000e-03
4.800000000000000000e+02,2.180989583333333565e-02
4.810000000000000000e+02,8.138020833333332177e-03
4.820000000000000000e+02,5.533854166666666088e-03
4.830000000000000000e+02,2.148437500000000000e-02
4.840000000000000000e+02,2.311197916666666782e-02
4.850000000000000000e+02,2.832031249999999653e-02
4.860000000000000000e+02,2.376302083333333218e-02
4.870000000000000000e+02,5.208333333333333044e-03
4.880000000000000000e+02,2.604166666666666522e-03
4.890000000000000000e+02,9.440104166666667823e-03
4.900000000000000000e+02,7.486979166666666956e-03
4.910000000000000000e+02,1.399739583333333218e-02
4.920000000000000000e+02,5.859375000000000867e-03
4.930000000000000000e+02,2.636718750000000000e-02
4.940000000000000000e+02,1.822916666666666782e-02
